entity,relation,value
Allergisan,has_ean,8059591580776
Allergisan,has_sku,228
Biosnel Formula Potenziata,has_ean,8059591580363
Biosnel Formula Potenziata,has_sku,65
Cartilagea,has_ean,8059591580783
Cartilagea,has_sku,229
Cartilagea,contains_active,specifici per il benessere delle  cartilagini  e dei tessuti connettivi di  tendini e legamenti.
Cartilagea (Copia),has_ean,8059591580783
Cartilagea (Copia),has_sku,229
Cartilagea (Copia),contains_active,specifici per il benessere delle  cartilagini .
Colonsan Formula Potenziata,has_ean,8059591580370
Colonsan Formula Potenziata,has_sku,66
Colonsan Formula Potenziata,has_health_area,Integratori Naturali per Stomaco e Intestino
Colonsan Formula Potenziata,contains_active,100% naturali utili per il benessere di stomaco e intestino .
Dimasal Nuova Formula,has_ean,8059591580752
Dimasal Nuova Formula,has_sku,226
Dimasal Nuova Formula,contains_active,100% naturali utili per il controllo del peso.
Diuresan Formula Potenziata,has_ean,8059591580387
Diuresan Formula Potenziata,has_sku,67
Diuresan Formula Potenziata,has_health_area,Integratori Naturali per la Diuresi
DKE + Magnesio,has_ean,8059591580356
DKE + Magnesio,has_sku,61
DKE + Magnesio,has_health_area,Integratori Naturali per le Difese Immunitarie e le Ossa
Energea+ Nuova Formula,has_ean,8059591580875
Energea+ Nuova Formula,has_sku,238
Energea+ Nuova Formula,has_health_area,Integratori Naturali Energizzanti
Energea+ Nuova Formula,contains_active,funzionali 100% naturali utili per favorire il supporto energetico
Energea+ Nuova Formula,contains_active,in modo naturale: una  formula energizzante  che conferisce  forza e vitalità
Energea+ Nuova Formula,contains_active,sia sul piano fisico che mentale.
Epasal,has_ean,8059591580516
Epasal,has_sku,81
Epasal,has_health_area,Integratori Naturali per il Fegato
Ferro + B12,has_ean,8059591580790
Ferro + B12,has_sku,231
Glutatione Forte,has_ean,8059591580561
Glutatione Forte,has_sku,86
Glutatione Forte,contains_active,ad azione antiossidante
Glutatione Forte,contains_active,unici nel loro genere.  Questo significa detossicazione da tossine
Glutatione Forte,contains_active,sostegno immunitario
Glutatione Forte,contains_active,energia e vitalità
Glutatione Forte,contains_active,protezione degli organi
Glutatione Forte,contains_active,di cuore e circolazione e tanti altri benefici.
Goladoc,has_ean,8059591580813
Goladoc,has_sku,232
Goladoc,contains_active,naturali utili per il  benessere della gola
Goladoc,contains_active,del  tono di voce
Goladoc,contains_active,ad  azione emolliente e lenitiva .
Immuno Bimbi,has_ean,8059591580554
Immuno Bimbi,has_sku,85
Immuno Bimbi,has_health_area,Integratori Naturali per le Difese Immunitarie dei Bambini
ImmunoGea,has_ean,8059591580806
ImmunoGea,has_sku,230
Intestinum Forte,has_ean,8059591580745
Intestinum Forte,has_sku,225
Kiomasal,has_ean,8059591580707
Kiomasal,has_sku,221
Kiomasal,has_health_area,Integratori Naturali per i Capelli
Kiomasal,contains_active,brevettati
Kiomasal,contains_active,100% naturali  e di  ultima generazione  che hanno dimostrato la loro sicurezza ed efficacia attraverso  studi clinici .
Liposan Forte Nuova Formula,has_ean,8059591580578
Liposan Forte Nuova Formula,has_sku,88
Liposan Forte Nuova Formula,has_health_area,Integratori Naturali per Colesterolo e Trigliceridi
LuxGea Pelle,has_ean,8059591580882
LuxGea Pelle,has_sku,239
LuxGea Pelle,has_health_area,Integratori di Collagene
LuxGea Pelle,contains_active,innovativi utili per sostenere la bellezza della pelle
LuxGea Pelle,contains_active,supportare la  formazione di collagene dall’interno  e favorire un naturale  effetto antiage .
Memosan,has_ean,8059591580424
Memosan,has_sku,71
Memosan,has_health_area,Integratori Naturali per Memoria e Concentrazione
Memosan,contains_active,sono rigorosamente in forma di  estratto secco ad alta titolazione  cioè ad alto contenuto di principi attivi
Memosan,contains_active,gli unici a garantire veramente l’efficacia costante del prodotto.
Omega 3 Krill Oil,has_ean,8059591580431
Omega 3 Krill Oil,has_sku,72
Omega 3 Krill Oil,has_health_area,Integratori Naturali di Omega 3
Omega 3 Krill Oil,contains_active,attivi di Omega 3 Krill Oil Salugea
Pausanorm Forte,has_ean,8059591580448
Pausanorm Forte,has_sku,73
Pausanorm Forte,has_health_area,Integratori Naturali per la Menopausa
Pausanorm Forte,contains_active,naturali di Pausanorm Forte
ProbioGea Donna,has_ean,8059591580844
ProbioGea Donna,has_sku,235
ProbioGea Donna,contains_active,100% naturali possono darti beneficio già dalle prime assunzioni.  Per un trattamento “premium” per il benessere della flora batterica vaginale
ProbioGea Donna,contains_active,puoi anche scegliere la sinergia delle formulazioni del  Programma Flora Donna . È un percorso di benessere che prevede una prima fase in cui “prepari” il terreno all’assunzione dei probiotici.
ProbioGea Intestino,has_ean,8059591580837
ProbioGea Intestino,has_sku,234
ProbioGea Intestino,contains_active,100% naturali possono darti beneficio già dalle prime assunzioni.  Per un trattamento “premium” per il tuo benessere intestinale
ProbioGea Intestino,contains_active,puoi anche scegliere la sinergia delle formulazioni del  Programma Equilibrio Intestinale . È un percorso di benessere che prevede una prima fase in cui “prepari” il terreno all’assunzione dei probiotici.
ProbioGea Mente,has_ean,8059591580851
ProbioGea Mente,has_sku,236
Prostadoc,has_ean,8059591580769
Prostadoc,has_sku,227
Reflugea Forte,has_ean,8059591580738
Reflugea Forte,has_sku,224
Reflugea Forte,contains_active,100% naturali utili per  proteggere  le pareti gastriche
Reflugea Forte,contains_active,modulare la secrezione degli acidi
Reflugea Forte,contains_active,controllare l’acidità dello stomaco e  favorire così il benessere di stomaco ed esofago nel tempo .
Reflugea Rapido,has_ean,8059591580912
Reflugea Rapido,has_sku,242
Reflugea Rapido,contains_active,selezionati per il loro  effetto   antiacido  e combinati in una  formula multi-azione 3 in 1
Reflugea Rapido,contains_active,pensata per offrire una  pronta risposta  su più livelli del benessere gastrico.
