eans,sku,brand,title,categoryPath,url,price
8059591580332,87,Salugea,Venasal,"Integratori a base di Rusco > Prodotti Naturali > Beauty Week | Benessere dentro, Bellezza fuori > Integratori Naturali Salugea > Integratori a base di Amamelide > Integratori Anticellulite > Coupon applicabile > Integratori a base di Meliloto > 13° Compleanno Salugea > Prodotti Singoli Meno Promo (tool) > All products > Integratori a base di Ribes Nero > Integratori per Donne > Integratori a base di Ippocastano > Integratori Naturali adatti a Vegani e Vegetariani > Tutti meno memosan > Tutti meno programmi > Promo Gambe Leggere > Integratori per Vene e Capillari",https://salugea.com/products/venasal?variant=32355388227649&om=14641,31.84
8059591580356,61,Salugea,DKE + Magnesio,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,https://salugea.com/products/dke-magnesio?variant=31926520152129&om=14641,32.64
8059591580363,65,Salugea,Biosnel Formula Potenziata,"Integratori a base di Vite Rossa > All products > Integratori per Vene e Capillari > Tutti meno memosan > Remise en forme > Integratori 100% Naturali per il tuo benessere e la tua bellezza > Integratori naturali con Bromelina > Promo Gambe Leggere > Prodotti Singoli Meno Promo (tool) > Integratori per Donne > Coupon applicabile > Prodotti Naturali > not-on-sale-welcome > Integratori a base di Gynostemma > Integratori a base di Garcinia > Integratori a base di Centella asiatica > Integratori a base di Ananas > Tutti meno programmi > 13° Compleanno Salugea > Integratori Naturali adatti a Vegani e Vegetariani > Beauty Week | Benessere dentro, Bellezza fuori > Integratori Anticellulite",https://salugea.com/products/biosnel?variant=31917024378945&om=14641,31.36
8059591580370,66,Salugea,Colonsan Formula Potenziata,Integratori Naturali adatti a Vegani e Vegetariani > Coupon applicabile > Tutti meno memosan > not-on-sale-welcome > Prodotti Naturali > Promo Stomaco e Intestino > Integratori Naturali Salugea > Integratori a base di Malva > Integratori a base di Zenzero > Tutti meno programmi > All products > 13° Compleanno Salugea > Integratori per la Digestione 100% Naturali > Integratori a base di Finocchio > Integratori a base di Tarassaco > Integratori naturali per l'intestino > Integratori per l'apparato digerente > Integratori a base di Melissa > Prodotti Singoli Meno Promo (tool),https://salugea.com/products/colonsan?variant=31926343303233&om=14641,29.12
8059591580387,67,Salugea,Diuresan Formula Potenziata,"Integratori a base di Frassino > Integratori a base di Ibisco > Integratori per Donne > Integratori per l'apparato urinario > Beauty Week | Benessere dentro, Bellezza fuori > 13° Compleanno Salugea > Remise en forme > Prodotti Singoli Meno Promo (tool) > Integratori per Vene e Capillari > Integratori Anticellulite > All products > Tutti meno memosan > Coupon applicabile > Depurazione 100% Naturale > Prodotti Naturali > Integratori 100% Naturali per il tuo benessere e la tua bellezza > Integratori Depurativi > Promo Gambe Leggere > Integratori per le Vie Urinarie > Integratori a base di Pilosella > Integratori Naturali adatti a Vegani e Vegetariani > Integratori a base di Betulla > Integratori a base di Ortosiphon > Tutti meno programmi > not-on-sale-welcome",https://salugea.com/products/diuresan?variant=31926432301121&om=14641,32.16
8059591580424,71,Salugea,Memosan,Integratori a base di Schisandra > Integratori a base di Bacopa > Giornata della Felicità > Prodotti Naturali > Integratori per lo Studio > Tutti meno programmi > Promo Energia Salugea > Integratori contro lo Stress 100% Naturali > Integratori per Sportivi > All products > Integratori Naturali Salugea > Integratori a base di Centella asiatica > Integratori per il Sistema Nervoso > Integratori per la Stanchezza > Integratori Naturali adatti a Vegani e Vegetariani > Integratori per Uomini > Prodotti Singoli Meno Promo (tool) > Integratori per Anziani > Integratori a base di Rhodiola > Coupon applicabile > Integratori per la Mente 100% Naturali > Addio stress da rientro - Oggi fino al 20% di sconto! > 13° Compleanno Salugea > Integratori a base di Reishi,https://salugea.com/products/memosan?variant=31926583623745&om=14641,30.88
8059591580431,72,Salugea,Omega 3 Krill Oil,Integratori per l'apparato cardiocircolatorio > Integratori per Uomini > Integratori per il Colesterolo e i Trigliceridi > Integratori per il Cuore > Integratori Naturali Salugea > Addio stress da rientro - Oggi fino al 20% di sconto! > All products > Integratori per il Sistema Nervoso > Tutti meno programmi > Integratori per il Fegato > 13° Compleanno Salugea > Integratori per l'abbronzatura > Integratori per muscoli e nervi > Integratori Antiossidanti e Antiaging > Integratori per le Ossa e le Articolazioni 100% Naturali > Integratori per Sportivi > Coupon applicabile > Integratori per l'apparato riproduttivo > Prodotti Naturali > Integratori per l'apparato osteo-articolare > Settimana delle Difese Immunitarie > Tutti meno memosan > Integratori per Donne > Integratori di Omega 3 > Integratori di Colina > Integratori di Astaxantina > Prodotti Singoli Meno Promo (tool),https://salugea.com/products/omega-3-krill-oil?variant=31926594568257&om=14641,36.16
8059591580448,73,Salugea,Pausanorm Forte,Tutti meno memosan > Integratori a base di Kudzu > Integratori a base di Verbena > Integratori a base di Trifoglio rosso > Integratori Naturali adatti a Vegani e Vegetariani > 13° Compleanno Salugea > Tutti meno programmi > Integratori per la Menopausa Naturali al 100% > Integratori per l'apparato riproduttivo > Prodotti Naturali > Coupon applicabile > Integratori per Donne > Prodotti Singoli Meno Promo (tool) > Integratori a base di Dioscorea > All products > Integratori a base di Angelica sinensis,https://salugea.com/products/pausanorm-forte?variant=31926599450689&om=14641,33.76
8059591580455,74,Salugea,Rilassa Mente,Integratori per lo Studio > Integratori a base di Biancospino > Integratori a base di Melissa > Integratori contro lo Stress 100% Naturali > Integratori per muscoli e nervi > Remise en forme > Tutti meno programmi > Coupon applicabile > Integratori Naturali adatti a Vegani e Vegetariani > Tutti meno memosan > Integratori a base di Giuggiolo > All products > Integratori a base di Griffonia > Addio stress da rientro - Oggi fino al 20% di sconto! > not-on-sale-welcome > 13° Compleanno Salugea > Integratori per il Cuore > Integratori per il Sistema Nervoso > Integratori per la Mente 100% Naturali > Integratori per il Sonno 100% Naturali > Integratori per Uomini > Prodotti Naturali > Prodotti Singoli Meno Promo (tool) > Giornata della Felicità > Integratori per Donne > Integratori Naturali Salugea,https://salugea.com/products/rilassa-mente?variant=31926615179329&om=14641,30.24
8059591580479,76,Salugea,Sanuril Formula Potenziata,Integratori Naturali Salugea > Tutti meno memosan > Integratori a base di Uva Ursina > Integratori a base di Pompelmo > Prodotti Singoli Meno Promo (tool) > 13° Compleanno Salugea > Integratori per le Vie Urinarie > Integratori a base di Mirtillo Rosso Americano (Cranberry) > All products > Integratori per l'apparato urinario > Coupon applicabile > Prodotti Naturali > Tutti meno programmi > Integratori a base di D-Mannosio > Integratori Naturali adatti a Vegani e Vegetariani,https://salugea.com/products/sanuril?variant=31926641524801&om=14641,30.72
